,Distance_to_Shore,Turbidity,Cyclone_Frequency,Depth_m,Windspeed,SSTA,SSTA_Frequency,SSTA_DHW,TSA,Temperature_Maximum_C,Exposure_cat,Realm_Central Indo-Pacific,Realm_Eastern Indo-Pacific,Realm_Temperate Australasia,Realm_Temperate Northern Atlantic,Realm_Temperate Northern Pacific,Realm_Tropical Atlantic,Realm_Tropical Eastern Pacific,Realm_Western Indo-Pacific
2047,-0.2751054314686259,-0.5583475162000356,0.9533122258903559,-0.5246760531810657,2.067893185055377,0.5144648504996977,-0.47204224972650705,-0.47116838228688457,0.988035777856384,-0.6494765418198936,-0.9228683347360153,1,0,0,0,0,0,0,0
31679,0.21338258476056352,0.008662872428991929,0.9728456534249691,-0.9097832833619187,-0.8907989740120865,1.0566722827304855,-0.31365325333779637,0.23820759491765076,1.123222806001764,-0.14510271073189537,1.2061526052343166,0,0,0,0,0,1,0,0
15334,-0.2778339179059451,-0.16127199181887686,0.22325037178416865,-0.6379428855871989,-0.8907989740120865,0.12548995346456726,-0.6304312461152177,-0.6777449031211723,0.31824550204518437,0.21284000810474407,1.2061526052343166,1,0,0,0,0,0,0,0
10043,-0.27234359105040956,-0.8023134104172731,-0.5324491059611983,-0.5246760531810657,0.09543174567706793,-0.534588659685957,0.6366807249944678,-0.042424659800627006,0.25065198797249444,-1.7883851926637337,1.2061526052343166,0,0,0,0,0,0,0,1
30759,0.1040560833749223,0.08437642580675533,-0.542215819728505,0.3361518731055472,-0.3976836141675093,1.1627563455582486,-0.7888202425039285,-0.2256151594083916,1.233830374484347,-0.19391308148235117,1.2061526052343166,0,0,0,0,0,1,0,0
30644,-0.24422095315703435,0.4461189586116247,0.9728456534249691,-0.4793693202186123,-0.3976836141675093,-0.3577818883063523,-0.7888202425039285,0.44673295085414866,0.5333157740946521,-0.2101832050658172,1.2061526052343166,0,0,0,0,0,1,0,0
5439,-0.26895456499139997,2.722573130169709,-0.9585219940599596,-0.29814238836879914,0.09543174567706793,0.9388011018107492,-0.7888202425039285,0.20117972797565573,-0.06273612272815861,0.8961851986110851,-0.9228683347360153,1,0,0,0,0,0,0,0
4880,-0.2530577960959261,-0.38336508172698264,-1.9193224609187702,-1.1136635816929588,-0.3976836141675093,0.3258709610281193,-0.07606975875473031,-0.6777449031211723,-0.11189504205375128,0.1965698845212752,1.2061526052343166,0,0,0,0,0,1,0,0
17615,-0.2559347404482193,0.21393072825315038,-1.8924639980586766,0.6079922708802669,0.09543174567706793,0.9388011018107492,-0.6304312461152177,-0.2373081700216532,0.6439233425772356,0.2779205024386659,0.1416421352491507,1,0,0,0,0,0,0,0
22365,-0.21990786308182408,-0.6963144356884046,-0.4506528781600032,1.0837129669860264,-0.3976836141675093,0.20799978010838283,-0.841088611312203,0.351240030845846,0.7238065864813236,0.29419062602218105,1.2061526052343166,0,0,0,0,0,1,0,0
22758,-0.27243711299684686,3.4443756723710526,-0.5788409963559061,-1.4308107124301317,0.09543174567706793,-1.4893452251358226,0.7950697213831786,1.1736484439785764,-4.050753453016862,-0.5193155531520037,-0.9228683347360153,0,0,1,0,0,0,0,0
30700,-0.2726987128470213,-0.11079628956703459,0.2513296738651763,-0.7512097179933321,0.5885471055216451,2.176448501467982,0.0031247394396250426,0.48570965289835394,1.516494160606505,-0.5925311092777062,-0.9228683347360153,0,0,0,0,0,1,0,0
32101,-0.27259407290695153,-0.7265998570395098,1.0363292929124641,1.7859673279040524,1.0816624653662223,-1.9490428307227952,-0.6304312461152177,-0.6777449031211723,-1.3039988356993728,-0.7470972833207995,1.2061526052343166,0,0,0,0,0,1,0,0
29325,-0.20860413355578755,-0.7888532231501152,0.9533122258903559,0.15492494125573386,1.0816624653662223,-0.21633647120266852,-0.47204224972650705,-0.1535082606266119,-0.23479234036773286,-0.08815727818970509,-0.9228683347360153,0,0,0,0,0,1,0,0
28389,-0.245666292329248,-0.7552027549822203,-0.48849889400831753,1.6047403960542395,0.09543174567706793,-1.477558107043849,-0.7365518736956539,-0.6095356745438131,-0.36383450359741354,-0.6006661710694435,0.1416421352491507,0,0,0,0,0,1,0,0
3148,-0.23751549499743863,-0.7737105124745626,-0.2650853165811736,-0.5699827861435189,-0.3976836141675093,0.2197868982003565,-0.47204224972650705,0.035528744287783534,0.7360963163127218,-0.42169481165109785,0.1416421352491507,0,0,0,0,0,1,0,0
